Income,Expenses,Savings,Loan Amount,Credit Score,Investments,Age,Employment Status,Marital Status,Dependents
4406,8700,3223,14176,778,7237,40,Retired,Single,2
4241,9028,954,9379,698,43559,26,Unemployed,Single,1
8206,3877,1349,3727,733,10236,49,Unemployed,Single,4
10249,3310,1574,14225,493,44113,54,Unemployed,Single,0
6133,6690,2223,18373,765,47927,51,Employed,Married,2
3798,6932,3831,15468,640,39087,63,Employed,Single,3
4523,9395,3255,4345,358,19251,35,Retired,Single,3
10209,3626,1058,8174,837,35143,62,Retired,Single,2
7928,8453,1957,13052,777,41898,61,Employed,Single,1
5888,4530,4944,19098,402,22785,32,Retired,Married,4
5690,7823,3147,7046,832,26187,32,Retired,Single,0
7091,7247,2519,4186,621,40760,46,Retired,Married,3
10282,7105,3653,16722,848,14850,40,Employed,Single,2
12433,7391,2570,9853,313,20700,40,Employed,Single,4
9249,4576,2927,5968,755,47003,18,Unemployed,Single,1
3690,3844,3887,12456,520,18982,39,Unemployed,Married,0
11719,2119,887,15498,690,5949,24,Unemployed,Married,0
4495,3907,744,7684,472,31581,62,Unemployed,Single,3
14085,7760,3514,15543,380,7572,49,Retired,Married,3
3892,4504,2930,8361,635,27553,45,Retired,Married,2
11578,5414,2679,6505,524,30733,67,Employed,Single,0
12441,5096,175,6387,334,47498,49,Retired,Married,1
13720,5539,565,11291,487,13589,50,Retired,Married,1
8873,2804,3217,12806,523,37934,60,Retired,Married,2
7503,7130,4357,19396,793,11114,30,Unemployed,Married,0
14720,8782,4626,2610,610,1645,69,Employed,Married,3
3897,4807,1394,2473,820,6884,45,Unemployed,Single,1
3710,2861,1220,2688,839,24052,26,Retired,Single,4
6695,8165,947,4804,668,13461,65,Retired,Single,2
5686,5794,584,1290,774,27574,60,Employed,Married,1
10188,3287,2862,10227,330,17473,20,Unemployed,Single,4
8778,2573,1620,18991,531,48471,34,Retired,Married,4
10768,7402,3355,18072,796,48904,51,Employed,Single,1
8013,5099,2349,6511,474,45238,49,Retired,Married,2
7512,4555,3191,8197,597,16421,26,Retired,Married,4
3415,7976,3207,8714,664,34318,58,Employed,Married,4
12663,2159,2576,6672,385,6224,65,Employed,Single,0
7180,7820,531,19727,388,47318,18,Retired,Married,0
7262,8013,1231,16449,353,39349,66,Employed,Single,0
13623,6142,1993,19794,660,10435,59,Retired,Married,4
5515,7873,1697,2981,775,4479,37,Unemployed,Married,4
12287,5966,3370,12785,528,10137,22,Retired,Single,2
12001,7087,1545,14666,833,27528,57,Employed,Single,3
14236,3971,3165,2815,672,39859,62,Unemployed,Married,0
8640,7675,1437,5096,768,36401,38,Employed,Married,3
9616,9784,370,13950,719,40558,22,Retired,Married,0
3992,2781,4504,18401,831,4501,21,Employed,Single,0
12473,4677,616,6673,699,1889,25,Retired,Married,2
7370,7167,4166,1742,483,9765,42,Employed,Married,2
4773,6011,4014,5720,389,15197,24,Employed,Married,1
6561,5381,4179,3509,682,37928,54,Retired,Married,0
6816,3913,2256,12273,668,43924,59,Unemployed,Single,0
9633,3044,4354,3534,373,37819,49,Retired,Single,0
4756,6284,3310,14685,568,49995,34,Unemployed,Single,2
5373,7261,931,5136,314,7197,45,Unemployed,Single,0
5576,9374,2329,5585,628,14532,23,Unemployed,Married,1
12083,8461,393,8554,691,3283,59,Unemployed,Married,4
7184,7126,2465,11473,733,38752,65,Retired,Single,1
11899,6014,3277,1634,643,17995,59,Retired,Married,4
5397,2645,1929,16908,494,32723,53,Unemployed,Married,2
13326,6950,625,15117,335,47182,19,Unemployed,Married,3
13546,3066,4657,1722,504,40605,48,Unemployed,Single,2
8969,4505,2879,8611,356,24490,18,Unemployed,Single,3
7535,6007,3166,3864,409,47500,20,Unemployed,Single,4
9883,5748,3422,1067,795,41043,30,Unemployed,Married,3
11127,9783,2109,6438,524,9715,48,Employed,Married,4
12168,5492,1165,17803,685,37345,46,Unemployed,Married,3
3734,9527,2781,7271,363,15739,61,Employed,Single,4
13660,7260,1891,11325,651,23870,50,Retired,Single,3
13732,9545,3182,11828,762,33341,27,Retired,Single,4
3632,4477,1639,14132,619,30471,55,Unemployed,Single,1
7268,6847,781,17013,656,12590,26,Retired,Married,0
7099,5789,4692,13442,392,19645,18,Retired,Married,1
5901,2029,2056,1834,599,2023,61,Unemployed,Single,2
4663,4392,2323,15126,793,27155,54,Retired,Single,3
13207,8943,2274,2353,688,25897,49,Retired,Married,4
8591,6234,2233,13878,733,16437,50,Unemployed,Married,1
14373,4025,2638,19439,401,12318,19,Unemployed,Single,1
13822,5261,3287,11132,677,44791,63,Unemployed,Single,4
6872,7641,2480,8203,637,32575,19,Employed,Single,3
4054,4242,2616,10322,791,49198,22,Unemployed,Married,2
11572,6135,355,11295,359,41003,27,Retired,Married,2
6082,5925,4487,3157,808,11619,69,Unemployed,Married,2
13583,5330,4674,9626,691,21141,55,Employed,Married,4
11007,8492,3346,17340,418,41836,54,Retired,Married,1
12784,2033,3522,11826,770,2284,19,Employed,Single,2
7261,6062,2467,12095,627,29094,58,Retired,Single,1
13939,8620,163,13567,320,15466,59,Unemployed,Single,2
5389,8063,3634,7884,396,39121,57,Employed,Single,2
6553,8789,4733,1955,812,1903,42,Unemployed,Single,3
8138,5587,3663,10204,649,43137,55,Retired,Married,4
14219,3855,3254,4991,431,42289,54,Unemployed,Single,3
12399,3455,3381,4065,845,43849,35,Unemployed,Single,1
3544,4471,2064,16067,331,17365,44,Retired,Single,1
14273,7039,4265,13763,558,23394,37,Employed,Married,4
6663,8993,3984,19187,775,16971,67,Retired,Single,2
5239,3172,3887,12095,332,43827,51,Retired,Married,4
13559,4336,339,17408,687,44475,61,Unemployed,Single,2
6773,6427,4821,2329,755,32359,25,Retired,Single,0
5627,6439,3781,19082,443,34180,21,Employed,Married,0
9618,5144,3590,15873,523,7639,47,Retired,Single,4
9780,3797,1933,3026,516,31212,69,Retired,Single,0
13666,5561,1645,1011,455,37601,53,Unemployed,Married,0
11015,4666,4228,5624,819,19970,26,Employed,Single,1
6130,1683,2687,18084,335,32356,58,Unemployed,Married,2
14699,4346,4918,15229,308,22955,29,Unemployed,Married,0
3096,6222,2126,13244,339,27140,31,Employed,Married,3
6858,2282,4441,16602,768,46570,52,Employed,Married,1
5708,3007,4704,11780,478,40325,23,Retired,Married,2
8397,7355,638,5585,800,11467,64,Employed,Single,1
14528,9038,1224,16362,672,13032,40,Unemployed,Single,3
9152,2176,3705,14105,367,16126,68,Employed,Single,2
3456,8750,3910,17195,723,3882,21,Employed,Married,4
8914,9313,4245,14837,814,45703,18,Employed,Single,4
7368,5590,1549,14393,663,36287,26,Unemployed,Married,1
14179,7223,4145,5456,750,13805,65,Retired,Single,4
7088,4186,1505,4521,815,5400,26,Retired,Married,2
12223,9882,4430,9775,628,42614,61,Unemployed,Married,3
11399,9189,1375,14099,669,27553,63,Retired,Single,3
4937,2610,667,4037,686,17564,32,Retired,Single,4
4146,2078,2374,9074,846,21509,41,Unemployed,Single,0
8152,1561,4090,13986,413,36787,65,Unemployed,Married,0
7299,1886,1015,16815,337,1764,25,Retired,Single,0
11118,3700,335,12226,844,21519,45,Employed,Married,4
13756,3183,4761,9139,676,11558,59,Retired,Single,4
11634,7821,80,12099,698,17175,63,Employed,Married,4
10759,9556,2134,9859,502,27947,34,Unemployed,Married,2
10953,8914,1799,11174,501,15214,52,Employed,Single,0
7784,8143,257,2539,399,22422,48,Employed,Single,1
12024,7131,184,10305,697,7799,21,Employed,Single,2
4461,9445,122,13199,749,33021,65,Unemployed,Married,2
14708,9226,4700,390,417,15509,31,Retired,Married,4
4159,6669,4999,82,720,10974,42,Retired,Single,4
3386,8287,3514,17386,542,30356,63,Employed,Single,2
13233,5967,1394,8968,840,19840,65,Retired,Single,4
10192,6732,2352,12281,526,39449,57,Unemployed,Married,0
13745,9630,3219,15120,800,7997,67,Unemployed,Married,2
12910,7696,1308,9946,512,10374,24,Unemployed,Single,2
7775,5407,3944,10891,412,37900,48,Unemployed,Single,2
6409,5788,1941,19640,672,3453,52,Retired,Married,4
3689,8234,490,19628,598,1538,55,Employed,Married,2
10028,2580,1054,6007,318,11615,37,Employed,Single,1
10262,7740,701,522,310,31593,33,Employed,Single,1
8664,1697,2934,1694,307,3303,39,Unemployed,Single,0
9766,9314,4695,18636,452,19556,53,Retired,Married,2
12361,9351,1134,4837,849,35103,36,Retired,Single,2
3952,3100,79,11801,434,36027,19,Retired,Married,4
9142,8962,835,8469,672,7615,21,Retired,Single,3
8967,8366,651,16531,760,32468,51,Retired,Single,3
10205,5192,416,8148,534,9691,24,Retired,Single,2
14688,4583,3680,13065,554,34578,64,Employed,Single,0
5484,5489,3866,12706,627,24732,66,Unemployed,Single,1
4854,1832,745,3620,661,24940,31,Employed,Single,2
14631,7606,2002,10631,673,37481,60,Retired,Married,2
6231,8833,239,9131,508,4704,49,Unemployed,Married,0
5597,8155,2893,14307,566,34978,34,Unemployed,Single,0
10829,6808,1944,3709,805,15211,54,Unemployed,Married,3
11186,5700,855,15986,720,49866,31,Unemployed,Married,2
6983,4221,3515,13915,607,37513,34,Retired,Married,2
9963,2564,2646,5094,436,11178,49,Retired,Married,4
9684,8320,3194,9415,718,25175,69,Unemployed,Single,1
13383,5457,4515,16078,494,18875,19,Retired,Single,4
13827,3882,4804,15476,394,16816,56,Unemployed,Single,4
3656,4731,2598,13530,789,33441,21,Retired,Single,1
10743,8508,1353,7472,557,29846,57,Unemployed,Single,2
14532,3000,2035,3363,324,16620,47,Retired,Married,3
9839,3068,2880,19407,531,23844,47,Employed,Married,1
12988,7392,679,18201,631,32589,50,Employed,Single,0
9312,4781,486,14140,520,46986,59,Retired,Single,2
10938,5589,3620,17067,596,7110,18,Retired,Single,1
12954,3365,3650,14315,502,29940,50,Employed,Single,1
9176,7100,4718,19294,642,35585,53,Retired,Married,1
6285,7555,1438,14414,504,7613,66,Unemployed,Married,3
12777,1504,4314,2017,376,38087,48,Retired,Married,4
8559,9459,1484,4223,849,8231,54,Retired,Married,4
6563,2668,690,2184,341,12214,31,Employed,Single,1
13632,3898,1012,17741,754,3877,23,Employed,Single,1
7584,4130,4542,6531,481,33207,24,Retired,Single,4
7817,8108,2347,4666,494,37855,57,Unemployed,Married,3
8041,1847,3708,11255,687,2147,41,Retired,Single,2
14292,7361,4470,2468,440,49709,67,Unemployed,Single,4
9182,4842,1922,7291,326,8609,21,Unemployed,Single,1
11026,8000,637,7255,614,10737,42,Retired,Married,3
6244,4074,3008,3920,620,37751,20,Unemployed,Single,3
4040,5325,2233,4236,747,46323,45,Employed,Married,1
14319,6093,2125,1939,592,41902,40,Unemployed,Married,0
5273,6772,3457,3856,535,6606,53,Unemployed,Married,3
6629,9744,4289,50,756,45686,65,Unemployed,Single,4
5114,1648,3174,15926,366,49581,30,Employed,Single,0
10364,2369,3688,1360,475,45861,39,Employed,Single,2
4677,5021,1399,6805,809,2095,42,Retired,Married,4
6094,5371,2334,11928,390,21211,60,Unemployed,Married,1
12190,2800,1505,11994,465,21669,41,Employed,Single,0
8873,9095,249,3045,737,18379,60,Unemployed,Married,4
5284,6333,535,11093,350,23065,54,Unemployed,Married,3
8052,8170,3532,257,565,49844,69,Retired,Single,1
10062,3951,3549,11651,820,38429,50,Unemployed,Single,0
4589,5885,457,44,386,17181,31,Employed,Married,3
12353,4324,2738,17718,351,20167,41,Retired,Single,1
5520,8354,3369,17055,478,11087,39,Retired,Single,1
7648,7464,4135,15354,577,6682,69,Unemployed,Married,0
8729,2486,3696,13589,538,39729,68,Unemployed,Married,0
3694,9671,3411,7000,638,22152,54,Employed,Married,0
10807,4990,4069,14480,371,38972,69,Unemployed,Single,4
14990,9576,3387,6085,673,8552,40,Employed,Single,1
6683,5267,3185,234,816,17468,23,Unemployed,Married,2
9704,3506,3238,6834,537,25531,36,Employed,Married,3
10368,9425,260,15055,765,8084,29,Unemployed,Single,0
4971,4607,1247,3207,420,44848,43,Retired,Married,1
12695,5968,3333,2400,712,46647,46,Employed,Single,3
11055,4830,3322,9609,342,20163,31,Retired,Married,2
14441,2423,2573,12562,803,7055,34,Retired,Single,3
7218,7747,125,7740,496,3669,47,Retired,Single,2
14434,9932,1229,14184,371,13028,24,Retired,Single,0
4868,3396,3211,14038,390,2008,38,Employed,Single,4
4671,9383,3133,650,848,16523,18,Unemployed,Married,2
12274,4824,1306,16417,790,46307,66,Retired,Married,0
4728,2313,2101,19416,682,3199,55,Unemployed,Single,3
10632,6250,135,13119,765,43319,21,Employed,Single,3
9403,9118,2377,7644,453,37207,63,Unemployed,Single,3
9092,2282,1459,17494,469,39650,25,Employed,Married,4
5142,5555,4231,8653,571,20297,35,Unemployed,Married,1
12340,9289,812,14416,409,5695,69,Employed,Married,2
9184,9699,851,1874,450,2006,62,Employed,Married,1
9010,4639,1744,19423,730,8114,25,Unemployed,Single,3
3253,6507,1938,10429,750,45012,48,Retired,Married,4
7102,5551,870,12213,322,30795,48,Retired,Single,0
6542,9075,634,16219,666,18527,45,Unemployed,Married,4
5775,4690,668,17640,538,41320,65,Retired,Married,1
10678,7137,1293,3240,733,15027,54,Retired,Married,3
9212,2078,3088,15802,426,28796,20,Employed,Married,2
7637,9638,268,16122,840,34992,62,Unemployed,Married,4
14525,5982,860,10903,497,29454,32,Retired,Single,1
9034,3365,481,1409,781,38263,21,Retired,Single,1
14471,6989,3290,10620,478,13441,52,Retired,Single,0
14073,2876,3390,1832,822,31189,51,Unemployed,Married,2
11457,6908,1261,18408,736,1181,53,Retired,Married,1
13532,9663,2332,5736,613,13812,23,Retired,Single,2
9476,6558,102,4993,318,23716,21,Retired,Married,3
6148,7783,3794,11103,459,41218,66,Employed,Married,4
6359,3476,4887,14397,421,36713,47,Unemployed,Single,1
4004,7943,4334,3213,371,27633,56,Retired,Married,3
13286,6259,2692,10355,354,11939,35,Employed,Married,0
7717,9095,3671,6208,759,11072,39,Unemployed,Single,2
6271,6420,881,9644,468,45562,27,Employed,Married,3
3209,3387,2235,6453,448,9846,66,Employed,Married,2
12079,2491,4983,19137,325,4686,46,Unemployed,Single,2
8539,6728,3034,11093,547,30998,40,Retired,Single,1
3153,9546,4889,13741,526,27775,21,Retired,Married,2
6593,7950,2577,11263,783,20215,36,Employed,Single,3
11606,5104,675,305,309,28984,43,Unemployed,Married,0
14616,2583,2439,1384,394,44195,24,Unemployed,Married,1
4284,1520,1681,19751,420,26297,30,Retired,Married,4
6148,2599,1276,17958,425,32619,20,Employed,Married,0
3768,8341,4767,872,848,43160,57,Retired,Single,3
12174,4137,3247,8360,368,30552,28,Unemployed,Single,1
8607,9244,4934,9795,596,44422,33,Unemployed,Single,2
6202,4913,3648,17414,800,25885,37,Retired,Single,0
14718,8957,1312,9926,344,18409,68,Retired,Married,1
5787,2854,1073,15491,681,5412,40,Unemployed,Single,4
5210,7902,4099,6905,326,47075,40,Employed,Married,4
12230,6021,1654,4442,796,21027,49,Unemployed,Married,4
10399,6625,3747,15290,435,9559,58,Employed,Married,1
9338,1505,4088,3667,348,5650,59,Retired,Married,0
11733,9882,1893,17660,806,11844,55,Retired,Married,2
3358,9839,1285,6553,420,18633,20,Employed,Single,0
3849,5853,534,16926,516,36751,69,Unemployed,Married,2
10498,5050,3447,4808,825,38343,25,Unemployed,Single,0
7522,9531,1379,7731,342,31493,55,Employed,Married,0
5544,5605,645,583,395,24831,57,Employed,Married,1
4831,6583,23,16894,326,37877,31,Employed,Married,4
4472,3675,4652,9138,541,48131,25,Employed,Married,4
12628,6724,4451,7695,786,46197,28,Unemployed,Married,4
3329,2695,4965,3473,539,2782,59,Retired,Single,4
8851,3569,4670,1198,603,21952,59,Unemployed,Married,0
10032,4858,4124,3995,366,31219,60,Employed,Single,4
8266,3938,364,12113,580,43167,50,Unemployed,Single,0
7354,5744,2655,4535,491,5412,32,Employed,Single,2
9435,4843,408,5871,418,31056,54,Employed,Single,3
10978,3311,1314,19687,451,30116,31,Employed,Single,3
7238,1671,218,2447,691,48507,43,Employed,Married,2
9112,5642,4703,9408,530,48855,69,Unemployed,Married,0
7722,2125,1539,6844,650,31633,25,Employed,Married,4
4388,7406,3433,17674,828,15598,66,Unemployed,Married,1
7185,9483,4953,12413,470,11616,21,Unemployed,Single,0
11911,5563,1602,15169,431,38448,53,Retired,Married,0
6235,9642,2704,7549,656,34238,35,Unemployed,Married,2
7576,2253,3648,8693,341,13101,44,Retired,Married,2
13323,8351,1105,11063,604,38595,36,Retired,Single,1
4100,6604,3411,16770,305,38835,20,Retired,Single,4
11864,8843,2488,8603,628,11286,26,Unemployed,Single,3
11708,8426,616,2006,469,36762,56,Retired,Single,4
5532,8327,4321,5213,637,12070,19,Employed,Single,4
10770,9859,2418,18531,368,29091,26,Unemployed,Married,0
6670,5185,27,3868,838,41702,23,Employed,Single,1
3781,9777,3055,9530,806,47739,55,Unemployed,Married,0
6523,3482,15,14360,785,47707,45,Retired,Married,2
14750,6444,3348,6637,742,22742,65,Retired,Married,3
9131,9392,332,16736,350,34050,51,Unemployed,Single,1
13578,9691,4578,4964,448,41377,46,Retired,Married,1
7782,9962,4661,19572,391,15428,65,Employed,Married,4
12781,1843,2161,1302,667,45608,20,Employed,Single,0
7995,4581,2085,7749,375,3733,33,Retired,Married,4
4501,8137,4549,846,385,5067,61,Unemployed,Single,4
14986,3791,3953,13390,526,19741,52,Unemployed,Single,1
6080,3032,2789,13735,662,12127,28,Employed,Single,3
12268,5862,4261,14876,323,13010,60,Retired,Married,2
12292,3153,2252,13967,327,37006,40,Retired,Married,4
3502,6488,4973,18908,420,10964,47,Employed,Married,3
12531,7844,244,18262,789,29653,65,Unemployed,Single,4
6885,9930,1894,4105,644,25373,22,Retired,Married,3
11009,2938,1356,2819,330,8210,69,Unemployed,Married,0
3623,4516,942,8077,526,1787,25,Unemployed,Single,2
13078,9666,3467,12022,549,49467,60,Employed,Married,1
14542,7889,3192,9250,349,25618,60,Unemployed,Married,0
4050,7477,1745,18873,688,16060,67,Employed,Single,4
10385,4579,4505,19648,587,46256,68,Retired,Single,4
9081,7795,2357,11793,774,28518,27,Unemployed,Married,2
8484,3758,3879,18677,305,48770,45,Employed,Married,2
6772,4491,3777,17058,711,23168,53,Employed,Single,2
6916,5241,2115,10070,623,38411,27,Unemployed,Single,4
7018,1585,2267,6257,698,29481,31,Employed,Single,4
4329,3993,2267,1011,581,22112,55,Retired,Married,1
7114,7947,1496,16616,490,6640,54,Unemployed,Single,2
6367,9823,2796,19411,799,4410,64,Retired,Married,3
11095,9088,4481,19993,733,35126,22,Employed,Single,1
8141,2403,929,2173,362,26780,23,Retired,Married,3
6951,6583,3324,3384,752,45564,47,Employed,Single,0
8084,7690,4500,18712,792,12185,36,Employed,Single,2
13689,4304,4587,797,741,16631,69,Retired,Married,1
4573,2726,356,7121,606,44201,66,Unemployed,Single,1
5634,2784,4310,13594,425,17921,31,Unemployed,Single,0
5768,2189,4064,14986,564,29587,28,Unemployed,Married,0
8302,6643,3841,7690,306,38344,63,Retired,Married,0
9250,6282,3930,12669,712,21909,22,Retired,Single,1
4211,6381,4847,18973,505,20967,62,Retired,Single,4
11967,6007,826,17847,478,8898,48,Retired,Married,3
8955,3496,665,11554,767,42904,61,Unemployed,Married,3
4160,5881,2028,19494,795,15216,49,Unemployed,Married,0
8977,9180,3691,17431,742,27399,41,Employed,Married,4
10041,1929,2582,4871,527,29474,68,Retired,Single,4
5383,7200,553,13354,445,13398,27,Unemployed,Single,0
13846,5281,327,5289,595,47762,30,Unemployed,Single,2
8876,6968,1188,17945,540,42810,64,Unemployed,Married,1
6540,6007,149,15831,586,20309,69,Unemployed,Married,2
7635,2027,4752,6286,325,30658,30,Unemployed,Single,4
4095,4496,2853,16958,751,42955,53,Unemployed,Married,0
8901,4967,1936,13916,405,40482,39,Retired,Married,1
11215,2861,4388,9934,539,24581,26,Employed,Single,3
14748,8317,2736,12762,717,33010,36,Employed,Single,4
4079,2203,956,10550,631,15287,69,Retired,Married,1
11370,2162,3248,4024,341,23390,24,Unemployed,Single,1
5847,7756,415,8722,334,46721,32,Retired,Single,2
4960,9867,3454,17374,646,9541,34,Unemployed,Married,3
4473,6797,2645,2120,683,18921,63,Unemployed,Married,2
7888,6878,3774,18825,812,44937,31,Unemployed,Married,2
7979,1805,84,5877,587,41149,58,Unemployed,Married,2
4212,6997,1935,10720,332,31238,65,Unemployed,Single,2
8697,6197,1416,18904,394,3366,19,Retired,Married,4
12001,3890,1070,17335,504,14494,31,Retired,Married,3
3419,8722,3412,14659,329,40796,21,Employed,Single,2
6659,9433,1521,964,565,44196,20,Unemployed,Single,4
8283,2965,1501,2134,322,12286,20,Retired,Single,4
12470,9352,4091,2244,338,7041,28,Retired,Married,1
13715,1902,2473,2803,472,20985,22,Unemployed,Married,1
12632,8440,735,3911,712,5174,65,Unemployed,Single,0
4340,4170,2838,11216,713,34691,46,Retired,Married,4
13413,9595,2562,1408,508,23726,45,Unemployed,Single,0
13584,9868,3906,13195,321,28838,40,Retired,Married,4
8137,6044,1272,11170,304,4303,47,Employed,Single,2
8189,7160,4836,7663,513,47653,40,Unemployed,Single,2
4361,7574,1862,9809,438,28177,68,Employed,Single,0
3591,3848,4226,7113,616,43007,58,Employed,Single,2
3526,8350,1763,8142,455,10890,39,Employed,Single,2
10855,5902,4418,13778,723,22964,60,Unemployed,Single,1
13695,2250,822,17772,799,27806,29,Employed,Married,2
4292,5562,542,4367,390,8600,44,Retired,Married,1
4654,8934,2765,12679,341,27444,57,Retired,Single,3
3187,9905,2078,10786,594,28230,63,Unemployed,Married,4
5758,3117,884,13012,636,41890,66,Unemployed,Married,1
11720,4030,4286,9938,300,17466,69,Employed,Married,1
11625,4833,3649,11693,408,17476,32,Unemployed,Married,1
9431,8734,4510,11051,424,33021,64,Retired,Single,4
9037,7268,3571,3978,363,28732,40,Retired,Married,4
14704,9207,3933,15611,505,8375,61,Retired,Married,4
12996,2011,3666,4490,714,8837,58,Unemployed,Married,2
11494,6582,1721,17236,543,24108,61,Retired,Single,1
7182,8360,374,6377,515,18851,36,Unemployed,Single,4
9973,1752,557,9903,827,27600,61,Employed,Married,3
3437,5633,1280,14567,679,16188,28,Retired,Married,4
13780,4976,3423,15788,378,45777,55,Employed,Married,0
3832,3225,1128,17440,714,6489,57,Retired,Married,0
11988,3593,1360,2260,752,20082,60,Retired,Married,1
11751,3201,3597,17292,448,9983,20,Retired,Single,1
14780,9996,1100,16833,337,34243,33,Employed,Single,1
11953,7334,1534,16952,456,9695,49,Retired,Married,2
8794,5840,2625,3498,632,1230,55,Employed,Married,0
6574,4307,4127,13961,587,40789,26,Unemployed,Married,0
6785,7801,1631,10518,411,33103,58,Retired,Single,1
13706,9072,57,12501,390,43546,55,Retired,Single,0
8220,2524,1127,1308,348,27350,22,Employed,Married,0
10750,4475,311,15902,460,12282,18,Retired,Single,2
9818,6356,3717,717,815,21354,52,Unemployed,Married,3
3684,8224,2001,3345,701,29802,52,Retired,Single,1
7233,4067,2737,15370,619,12355,29,Unemployed,Single,3
3577,6087,3877,13953,663,31238,53,Unemployed,Single,3
11007,6422,2282,19102,741,44369,38,Retired,Single,2
3227,6546,3183,9095,774,18144,65,Retired,Single,0
5328,4394,1431,9642,611,6243,60,Unemployed,Single,1
5731,8703,3125,17839,831,21336,25,Unemployed,Married,4
12019,8978,4897,7035,519,18680,44,Unemployed,Married,3
3430,6774,4334,531,796,11594,26,Retired,Married,3
12255,5113,1775,2267,642,19531,45,Employed,Married,2
4709,1538,1318,16716,393,27215,47,Retired,Married,3
8782,4584,4207,16130,432,38164,31,Employed,Married,3
